"survey_id","country","package","wtp","sos","info","own","own.fisher","own.industry","own.gov","own.public","STR","RES","ASC","noalt"
4012,NA,0,0,"0","0","0","0","0","0","0",93002,0,0,3
4013,"IND",9,10,"1","1","3","0","0","1","0",94001,1,1,3
4013,NA,13,0,"1","0","2","0","1","0","0",94001,0,1,3
4013,NA,0,0,"0","0","0","0","0","0","0",94002,0,0,3
4014,"IND",12,10,"1","0","1","1","0","0","0",95001,1,1,3
4014,NA,14,0,"1","1","2","0","1","0","0",95001,0,1,3
4014,NA,0,0,"0","0","0","0","0","0","0",95002,0,0,3
4015,"IND",15,10,"0","1","1","1","0","0","0",96001,1,1,3
4015,NA,10,0,"0","1","2","0","1","0","0",96001,0,1,3
4015,NA,0,0,"0","0","0","0","0","0","0",96002,0,0,3
4016,"IND",16,10,"0","0","3","0","0","1","0",97001,1,1,3
4016,NA,13,0,"1","0","2","0","1","0","0",97001,0,1,3
4016,NA,0,0,"0","0","0","0","0","0","0",97002,0,0,3
4017,"IND",2,0,"1","0","3","0","0","1","0",98001,1,1,3
4017,NA,1,0,"0","0","2","0","1","0","0",98001,0,1,3
4017,NA,0,0,"0","0","0","0","0","0","0",98002,0,0,3
4018,"IND",0,0,"0","0","0","0","0","0","0",99002,1,0,3
4018,NA,2,0,"1","0","3","0","0","1","0",99001,0,1,3
4018,NA,8,0,"0","0","4","0","0","0","1",99001,0,1,3
4019,"IND",4,5,"1","1","4","0","0","0","1",100001,1,1,3
4019,NA,3,0,"0","0","1","1","0","0","0",100001,0,1,3
4019,NA,0,0,"0","0","0","0","0","0","0",100002,0,0,3
4020,"IND",11,0,"1","0","4","0","0","0","1",101001,1,1,3
4020,NA,5,0,"0","1","4","0","0","0","1",101001,0,1,3
4020,NA,0,0,"0","0","0","0","0","0","0",101002,0,0,3
4021,"IND",6,5,"0","1","3","0","0","1","0",102001,1,1,3
4021,NA,7,0,"1","1","1","1","0","0","0",102001,0,1,3
4021,NA,0,0,"0","0","0","0","0","0","0",102002,0,0,3
4022,"IND",9,0,"1","1","3","0","0","1","0",103001,1,1,3
4022,NA,13,0,"1","0","2","0","1","0","0",103001,0,1,3
4022,NA,0,0,"0","0","0","0","0","0","0",103002,0,0,3
4023,"IND",15,0,"0","1","1","1","0","0","0",104001,1,1,3
