"","sos","info","own","fishtech","rank_one","education","wtp_predict","wtp_predict_int"
"96",0,0,"4",1,"weather","no_formal",-1.03459342906594,-0.0795641003142185
"97",0,1,"1",0,"corruption","formal",2.08787709409331,4.06886694452836
"98",0,1,"1",0,"corruption","higher",3.36088370321127,4.96290631506861
"99",0,1,"1",0,"corruption","no_formal",0.151999647195224,1.84586331758088
"100",0,1,"1",0,"iuu","formal",1.0921296025465,2.79739566818119
"101",0,1,"1",0,"iuu","higher",2.21490966491385,3.69143503872143
"102",0,1,"1",0,"iuu","no_formal",-0.615296411580634,0.574392041233699
"103",0,1,"1",0,"pollution","formal",0.657356829090904,2.30292010626774
"104",0,1,"1",0,"pollution","higher",1.71454354281124,3.19695947680798
"105",0,1,"1",0,"pollution","no_formal",-0.950320540054519,0.0799164793202527
"106",0,1,"1",0,"weather","formal",0.06678232147092,1.37250064708357
"107",0,1,"1",0,"weather","higher",1.03487017264642,2.26654001762382
"108",0,1,"1",0,"weather","no_formal",-1.4054012668022,-0.850502979863912
"109",0,1,"1",1,"corruption","formal",3.6466506037034,5.23580072289056
"110",0,1,"1",1,"corruption","higher",5.15482643343501,6.1298400934308
"111",0,1,"1",1,"corruption","no_formal",1.35314831249599,3.01279709594307
"112",0,1,"1",1,"iuu","formal",2.46695342969791,3.96432944654338
"113",0,1,"1",1,"iuu","higher",3.79715057088971,4.85836881708362
"114",0,1,"1",1,"iuu","no_formal",0.444105608549713,1.74132581959589
"115",0,1,"1",1,"pollution","formal",1.95186279021927,3.46985388462993
"116",0,1,"1",1,"pollution","higher",3.20434917774175,4.36389325517018
"117",0,1,"1",1,"pollution","no_formal",0.0471907069913451,1.24685025768245
"118",0,1,"1",1,"weather","formal",1.25218834103063,2.53943442544577
"119",0,1,"1",1,"weather","higher",2.39911616351172,3.43347379598601
"120",0,1,"1",1,"weather","no_formal",-0.491959481029362,0.316430798498281
"121",0,1,"2",0,"corruption","formal",1.98171463032515,4.26779353621753
"122",0,1,"2",0,"corruption","higher",3.23870470868424,5.16183290675778
"123",0,1,"2",0,"corruption","no_formal",0.0701937267879256,2.04478990927005
"124",0,1,"2",0,"iuu","formal",0.998495290802213,2.99632225987036
"125",0,1,"2",0,"iuu","higher",2.107148921087,3.8903616304106
"126",0,1,"2",0,"iuu","no_formal",-0.68744847721725,0.773318632922868
"127",0,1,"2",0,"pollution","formal",0.569192678655518,2.50184669795691
"128",0,1,"2",0,"pollution","higher",1.61307823321699,3.39588606849715
"129",0,1,"2",0,"pollution","no_formal",-1.01825744748203,0.278843071009422
"130",0,1,"2",0,"weather","formal",-0.0139514238911929,1.57142723877274
"131",0,1,"2",0,"weather","higher",0.941956279330179,2.46546660931299
"132",0,1,"2",0,"weather","no_formal",-1.46761250524613,-0.651576388174743
"133",0,1,"2",1,"corruption","formal",3.52087618844657,5.43472731457973
"134",0,1,"2",1,"corruption","higher",5.01007666927294,6.32876668511997
"135",0,1,"2",1,"corruption","no_formal",1.25622995323255,3.21172368763224
"136",0,1,"2",1,"iuu","formal",2.35602155802119,4.16325603823255
"137",0,1,"2",1,"iuu","higher",3.6694826168748,5.05729540877279
"138",0,1,"2",1,"iuu","no_formal",0.358624511531883,1.94025241128506
"139",0,1,"2",1,"pollution","formal",1.84741161158195,3.6687804763191
"140",0,1,"2",1,"pollution","higher",3.08413964670693,4.56281984685935
